frequency (Hz),Vpp1 (V),Vpp2 (V),phase (Ch2-Ch1) (degrees),T,T_dB
10.0,0.1570329666,0.0244024005,104.7422943115,0.024148125858819102,-16.171165692916393
16.237767391887218,3.7374219894,0.0114374403,-98.5071716309,9.365121312565034e-06,-50.28486592550746
26.366508987303583,3.9352047443,0.0070404001,89.6202468872,3.200810879901886e-06,-54.947399854127
42.81332398719393,3.9957494736,0.0202696007,87.5342483521,2.5733205310280972e-05,-45.89506114999607
69.51927961775606,4.0074381828,0.1895052046,86.4300613403,0.0022361895846596176,-26.504913796401706
112.88378916846884,4.0197691917,0.3082809746,85.8305130005,0.0058815421250256895,-22.30508788110967
183.29807108324357,4.0070967674,0.4932403266,82.8739089966,0.015151564976895675,-18.195425073776207
297.63514416313194,4.0194234848,0.8009670377,77.5714263916,0.03971017092158517,-14.010982436301102
483.2930238571752,3.9823184013,1.2899981737,71.0251464844,0.10493158423487599,-9.79093770201689
784.7599703514607,3.8969984055,1.9975463152,58.210357666,0.262744273368173,-5.804667408437936
1274.2749857031336,3.7886328697,2.9007599354,38.5222930908,0.5862171654572802,-2.3194146881428512
2069.13808111479,3.6840064526,3.5791950226,10.8684854507,0.9439086395955292,-0.25070038794767135
3359.818286283781,3.7406847477,3.4017665386,-22.0161304474,0.8270024422333359,-0.8249320792400089
5455.594781168515,3.8672897816,2.5587806702,-47.6065597534,0.4377767485281073,-3.5874730867512152
8858.667904100823,3.9981825352,1.7055593729,-63.4543838501,0.18197362616727547,-7.399915506962773
14384.498882876629,4.0104832649,1.0811312199,-74.1541976929,0.07267137885130238,-11.386365995173367
23357.21469090121,4.0475006104,0.6688303351,-80.074760437,0.027305999576577897,-15.637419208443767
37926.90190732246,4.0350465775,0.4038215876,-84.7539749146,0.010015715026285489,-19.99318040790232
61584.82110660255,4.0226306915,0.2375912517,-86.4532089233,0.0034885147647715727,-24.57359434575263
100000.0,0.8826580048,0.0664364025,-85.5944061279,0.005665357063560058,-22.46772713188582
