frequency (Hz),T_1k,T_470
10.0,0.00015521222949948534,0.024148125858819102
16.588009552658857,3.721384273311379e-05,9.365121312565034e-06
27.51620609191014,0.0015522942058829343,3.200810879901886e-06
45.643908950553524,0.00423670185492152,2.5733205310280972e-05
75.71415976924726,0.011461118620078094,0.0022361895846596176
125.59472055238123,0.03141527701735962,0.0058815421250256895
208.33664242864197,0.08100826915565391,0.015151564976895675
345.5890214775182,0.20588083757340042,0.03971017092158517
573.26339895631,0.43096179183662275,0.10493158423487599
950.9298738076955,0.7086434775775244,0.262744273368173
1577.4033830630735,0.9130504433500342,0.5862171654572802
2616.598238664666,0.9702817845527602,0.9439086395955292
4340.415657843982,0.8660909473285171,0.8270024422333359
7199.885639482606,0.6157036878317033,0.4377767485281073
11943.177176578854,0.3450519382503509,0.18197362616727547
19811.353709418727,0.15523206090662686,0.07267137885130238
32863.09245829414,0.058927639652663254,0.027305999576577897
54513.32916280944,0.020176010551249898,0.010015715026285489
90426.76248999196,0.0058656476723547585,0.0034885147647715727
150000.00000000003,5.0880550466781526e-05,0.005665357063560058
