frequency (Hz),T_4700,T_2200,T_1000,T_470,T_queda_tensao_capacitor,T_queda_tensao_indutor
10.0,0.0048580507042694,0.0003756904314143604,0.00015521222949948534,0.024148125858819102,0.9455785346506338,2.057984993987664e-06
16.237767391887218,0.012658340402455856,0.002678962247044993,3.721384273311379e-05,9.365121312565034e-06,0.9653304672549841,2.449017777161696e-07
26.366508987303583,0.032988427762304574,0.007195627474028537,0.0015522942058829343,3.200810879901886e-06,0.9659595740403983,3.039633010201604e-07
42.81332398719393,0.08195670944987858,0.018507923271375733,0.00423670185492152,2.5733205310280972e-05,0.9656705275166336,2.9121532093273177e-07
69.51927961775606,0.19249191051841721,0.04722605962956922,0.011461118620078094,0.0022361895846596176,0.990034727010609,1.2567243146907612e-06
112.88378916846884,0.38800840200259673,0.12006863836402643,0.03141527701735962,0.0058815421250256895,0.9657409663162131,1.1605182067766556e-06
183.29807108324357,0.6193289043995069,0.2602859106832497,0.08100826915565391,0.015151564976895675,0.9779247549013884,3.2850807929373147e-06
297.63514416313194,0.8023415467476458,0.4924922186413691,0.20588083757340042,0.03971017092158517,0.9779256507429575,7.06929438692344e-05
483.2930238571752,0.9045903778818849,0.7122834087423762,0.43096179183662275,0.10493158423487599,0.9539289801041254,0.0015431229965641878
784.7599703514607,0.9607895112329708,0.8794319682278101,0.7086434775775244,0.262744273368173,0.9069687505301698,0.010083689889378059
1274.2749857031336,0.9726136266397146,0.9457818652852142,0.9130504433500342,0.5862171654572802,0.763859074086356,0.05823582632713663
2069.13808111479,0.9723175565685159,0.9927796088509905,0.9702817845527602,0.9439086395955292,0.4604488650378076,0.2490717481472468
3359.818286283781,0.9845091071393307,0.9684188963547183,0.8660909473285171,0.8270024422333359,0.15770102091039323,0.5951414503386294
5455.594781168515,0.9724684191053202,0.9214717042087495,0.6157036878317033,0.4377767485281073,0.031100293445668514,0.8299537994538856
8858.667904100823,0.9487519439263622,0.8223961761479872,0.3450519382503509,0.18197362616727547,0.005052517067894078,0.9202935078958737
14384.498882876629,0.90317664516349,0.6419938526266455,0.15523206090662686,0.07267137885130238,0.00018380333856747062,0.9540605065490526
23357.21469090121,0.785412036580912,0.3920493341558886,0.058927639652663254,0.027305999576577897,0.0005050818730854913,0.9658012604581032
37926.90190732246,0.5710190601709614,0.19564204322576373,0.020176010551249898,0.010015715026285489,5.6473090926247305e-06,0.9900988492951782
61584.82110660255,0.32005207044268214,0.07662490699859391,0.0058656476723547585,0.0034885147647715727,3.000936196345848e-06,0.989494916951239
100000.0,0.11049995220490628,0.022406527932216938,5.0880550466781526e-05,0.005665357063560058,1.6206303002792884e-06,0.9894951320327093
